名義價格	按盤價
保證金	按金
押金	按金
被迫倉	被挾倉
追加保證金通知	追收孖展
摘牌	除牌
除權日	除淨日
募集資金	籌集資金
對沖交易	對沖
套利交易	對沖
報價撮合	對盤
基點	點子
套牢	被縛
空頭	淡倉
配股	供股
公開配售	公開招股
發行價	招股價
支撐線	支持位
重倉股	重磅股
債息收益	債券孳息
折價 折讓
做多 做好
做空 做淡
金融中介機構	中介人
止損委託	止蝕盤
利潤警告	盈利警告
存託憑證	預托證券
每月對賬單	月結單
所有權	擁有權
申購新股	新股認購
小盤股	細價股
行權	行使
限價委託	限價盤
套利買賣	套戥
盤軟	市況疲弱
漲幅	升幅
零股	碎股
收盤價	收市價
不當行為	失當行為
認購起點	入場費
投資起點	入場費
解除債務	清償債項
強制清算	強制清盤
公司治理	企業管治
等價	平價
均衡價格	平衡價格
權益披露	披露權益
賣單委託	賣盤
賣方委託	賣盤
賣出委託	賣盤
買單委託	買盤
買方指令	買盤
買入委託	買盤
保證金賬戶	孖展戶口
下單	落盤
補漲股	落後股
積累	累積
建倉	開倉
被迫拋售	斬倉
可轉換債券	可換股債券
委託人賬戶	客戶賬戶
當天交易	即日鮮
基本面	基本因素
券商	經紀行
清算	結算
交割	交收
審計	核數
送股	紅股派送
審計師	核數師
賣出保值	沽空對沖
溢價	高於面值
權證	窩輪
股份回購	股份購回
股票代碼	股份代號
風險披露書	風險披露聲明
空頭	淡倉
大額交易	大手交易
長期持有	長揸
多頭倉位 	長倉	
募集資金 	籌集資金
除權日	除淨日
摘牌	除牌
追加保證金通知	追收孖展
被迫倉	被挾倉
高峰	高峰
